0, 174.0, 174
1, 170.3, 171.3
2, 167.9, 169.9
3, 165.9, 168.9
4, 164.2, 168.2
5, 162.6, 167.6
6, 161.3, 167.3
7, 160.0, 167
8, 158.8, 166.8
9, 157.8, 166.8
10, 156.7, 166.7
11, 155.8, 166.8
12, 154.9, 166.9
13, 154.0, 167
14, 153.2, 167.2
15, 152.4, 167.4
16, 151.7, 167.7
17, 150.9, 167.9
18, 150.2, 168.2
19, 149.5, 168.5
20, 148.9, 168.9
21, 148.2, 169.2
22, 147.6, 169.6
23, 147.0, 170
24, 146.4, 170.4
25, 145.9, 170.9
26, 145.3, 171.3
27, 144.8, 171.8
28, 144.3, 172.3
29, 143.8, 172.8
30, 143.3, 173.3
31, 142.8, 173.8
32, 142.3, 174.3
33, 141.8, 174.8
34, 141.4, 175.4
35, 140.9, 175.9
36, 140.5, 176.5
37, 140.1, 177.1
38, 139.6, 177.6
39, 139.2, 178.2
40, 138.8, 178.8
41, 138.4, 179.4
42, 138.0, 180
43, 137.6, 180.6
44, 137.2, 181.2
45, 136.8, 181.8
46, 136.5, 182.5
47, 136.1, 183.1
48, 135.8, 183.8
49, 135.4, 184.4
50, 135.1, 185.1
51, 134.7, 185.7
52, 134.4, 186.4
53, 134.1, 187.1
54, 133.7, 187.7
55, 133.4, 188.4
56, 133.1, 189.1
57, 132.8, 189.8
58, 132.4, 190.4
59, 132.1, 191.1
60, 131.8, 191.8
61, 131.5, 192.5
62, 131.2, 193.2
63, 130.9, 193.9
64, 130.6, 194.6
